date,pm25
8/10/2022,1.4
8/11/2022,0.4
8/12/2022,0.6
8/13/2022,1.3
8/14/2022,2.8
8/15/2022,3.28
8/16/2022,8.52
8/17/2022,4.28
8/18/2022,0.9
8/19/2022,6.4
8/20/2022,6.95
8/21/2022,1.85
8/22/2022,0.7
8/23/2022,1.32
8/24/2022,1.9
8/25/2022,1.35
8/26/2022,1.38
8/27/2022,1.57
8/28/2022,0.47
8/29/2022,0.2
8/30/2022,0.4
8/31/2022,0.4
9/01/2022,0.4
9/02/2022,0.4
9/03/2022,0.56
9/04/2022,0.7
9/05/2022,0.8
9/06/2022,0.75
9/07/2022,0.6
9/08/2022,0.6
9/09/2022,0.8
9/10/2022,1
9/11/2022,1.27
9/12/2022,1.44
9/13/2022,1.65
9/14/2022,0.77
9/15/2022,0.63
9/16/2022,0.6
9/17/2022,0.5
9/18/2022,0.3
9/19/2022,0.25
9/20/2022,0.22
9/21/2022,0.65
9/22/2022,0.98
9/23/2022,1.67
9/24/2022,3.33
9/25/2022,2.54
9/26/2022,2.5
9/27/2022,3.13
9/28/2022,1.4
9/29/2022,1.23
9/30/2022,1.2
10/01/2022,3.58
10/02/2022,4.9
10/03/2022,0.88
10/04/2022,0.95
10/05/2022,0.8
10/06/2022,0.3
10/07/2022,0.8
10/08/2022,0.3
10/09/2022,0.3
10/10/2022,1.1
10/11/2022,0.35
10/12/2022,0.32
10/13/2022,1.4
10/14/2022,2.8
10/15/2022,1.63
10/16/2022,1.05
10/17/2022,0.6
10/18/2022,0.28
10/21/2022,0.5
10/22/2022,1.3
10/23/2022,0.44
10/24/2022,1.12
10/25/2022,0.7
10/26/2022,0.8
10/27/2022,1.3
10/28/2022,1.02
10/29/2022,0.4
10/30/2022,0.77
10/31/2022,2.35
11/01/2022,1.2
11/02/2022,2.33
11/03/2022,1.85
11/04/2022,1.75
11/05/2022,1.2
11/06/2022,1
11/07/2022,0.5
11/08/2022,0.17
11/09/2022,0.2
11/10/2022,1.1
11/11/2022,0.76
11/12/2022,0.5
11/13/2022,2.7
11/14/2022,1.38
11/15/2022,0.55
11/16/2022,0.4
11/17/2022,0.6
11/18/2022,1
11/19/2022,0.88
11/20/2022,0.4
11/21/2022,1.3
11/22/2022,2.1
11/23/2022,1.2
11/24/2022,1.2
11/25/2022,2.15
11/26/2022,3.91
11/27/2022,2.75
11/28/2022,2.76
11/29/2022,2.6
11/30/2022,2.1
12/01/2022,2.58
12/02/2022,1.8
12/03/2022,0.5
12/04/2022,0.9
12/05/2022,0.52
12/06/2022,0.38
12/07/2022,0.56
12/08/2022,0.7
12/09/2022,0.88
12/10/2022,1
12/11/2022,1
12/12/2022,1.3
12/13/2022,0.4
12/14/2022,0.27
12/15/2022,0.3
12/16/2022,0.4
12/17/2022,3.04
12/18/2022,4.29
12/19/2022,1.77
12/20/2022,3.25
12/21/2022,2.8
12/22/2022,0.82
12/23/2022,0.3
12/27/2022,0.6
12/28/2022,0.68
12/29/2022,1.02
12/30/2022,1.12
12/31/2022,1.05
1/01/2023,0.4
1/02/2023,0.7
1/03/2023,0.3
1/04/2023,0.74
1/05/2023,1.02
