date,pm25
1/06/2023,0.7
1/07/2023,0.1
1/08/2023,1.58
1/09/2023,1.8
1/10/2023,1.52
1/11/2023,1.02
1/12/2023,0.98
1/13/2023,0.9
1/14/2023,0.22
1/15/2023,0
1/16/2023,0
1/17/2023,0
1/18/2023,1.38
1/19/2023,3.03
1/20/2023,0.73
1/21/2023,0.52
1/22/2023,0.68
1/23/2023,2.17
1/24/2023,0.77
1/25/2023,0.3
1/26/2023,0.17
1/27/2023,0.3
1/28/2023,0.4
1/29/2023,0.43
1/30/2023,0.15
1/31/2023,0.35
2/01/2023,0.22
2/02/2023,0.15
2/03/2023,0.3
2/04/2023,0.3
2/05/2023,0.7
2/06/2023,1.14
2/07/2023,0.7
2/08/2023,0.8
2/09/2023,0.82
2/10/2023,0.4
2/11/2023,0.45
2/12/2023,0.3
2/13/2023,0.8
2/14/2023,1.17
2/15/2023,3.16
2/16/2023,1.95
2/17/2023,2.89
2/18/2023,0.4
2/19/2023,0.4
2/20/2023,0.55
2/21/2023,1.73
2/22/2023,2.13
2/23/2023,0.73
2/24/2023,0.6
2/25/2023,0.3
2/26/2023,0.3
2/27/2023,0
2/28/2023,0
3/01/2023,0.17
3/02/2023,0.47
3/03/2023,0.24
3/04/2023,0.2
3/05/2023,0.3
3/06/2023,0.3
3/07/2023,0.28
3/08/2023,0.88
3/09/2023,0.56
3/10/2023,0.6
3/11/2023,0.62
3/12/2023,0.2
3/13/2023,0.45
3/14/2023,0.25
3/15/2023,0.2
3/16/2023,0.8
3/17/2023,1.4
3/18/2023,0.35
3/19/2023,0.5
3/20/2023,0.3
3/21/2023,0.3
3/22/2023,0.95
3/23/2023,0.5
3/24/2023,1.05
3/25/2023,0.7
3/26/2023,0.43
3/27/2023,0.5
3/28/2023,0.4
3/29/2023,0.35
3/30/2023,0.68
3/31/2023,0.45
4/01/2023,0.7
4/02/2023,0.73
4/03/2023,0.95
4/04/2023,0.8
7/24/2023,0.5
7/25/2023,1.17
7/26/2023,1.5
7/27/2023,1.3
7/28/2023,0.9
7/29/2023,1
7/30/2023,1.3
7/31/2023,1.27
8/01/2023,0.9
8/02/2023,0.15
8/03/2023,0.1
8/04/2023,0.1
8/05/2023,0.05
8/06/2023,1.1
8/07/2023,4.71
8/08/2023,2.16
8/09/2023,0.77
8/10/2023,0.7
8/11/2023,1
8/12/2023,1.5
8/13/2023,1.07
8/14/2023,1.1
8/15/2023,1.27
8/16/2023,1.2
8/17/2023,0.3
8/18/2023,0.43
8/19/2023,0.68
8/20/2023,1.27
8/21/2023,1.95
8/22/2023,0.62
8/23/2023,0.85
8/24/2023,1.7
8/25/2023,1.08
8/26/2023,1.6
8/27/2023,1.4
8/28/2023,1.6
8/29/2023,0.7
8/30/2023,1.2
8/31/2023,0.8
9/01/2023,0.56
9/02/2023,0.6
9/03/2023,0.5
9/04/2023,0.55
9/05/2023,0.43
9/06/2023,0.68
9/07/2023,1
9/08/2023,1.3
9/09/2023,3.63
9/10/2023,2.47
9/18/2023,0.43
9/19/2023,0.82
9/20/2023,0.3
9/21/2023,1.35
9/22/2023,2.97
9/23/2023,0.63
9/24/2023,0.4
9/25/2023,1.14
9/26/2023,1.05
9/27/2023,2.22
9/28/2023,0.77
9/29/2023,2.52
9/30/2023,1.14
10/01/2023,0.2
10/02/2023,0.8
10/03/2023,0.8
10/04/2023,0.24
10/05/2023,0.17
10/06/2023,0.38
10/07/2023,0.2
10/08/2023,0.1
10/09/2023,0.15
10/10/2023,0.4
10/11/2023,0.6
10/12/2023,0.1
10/13/2023,0.3
10/14/2023,0.15
10/15/2023,0.3
10/16/2023,0.4
10/17/2023,0.25
10/18/2023,0.45
10/19/2023,0.4
10/20/2023,0.35
10/21/2023,0.5
10/22/2023,0.7
10/23/2023,0.8
10/24/2023,0.65
10/25/2023,0.6
10/26/2023,1
10/27/2023,0.6
10/28/2023,0.2
10/29/2023,0.4
10/30/2023,0.52
10/31/2023,0.5
11/01/2023,0.4
11/02/2023,0.4
11/03/2023,1.12
11/04/2023,0
11/05/2023,0
11/06/2023,0
11/07/2023,0
11/08/2023,0
11/09/2023,0
11/10/2023,0
11/11/2023,0
11/12/2023,0
11/13/2023,0
11/14/2023,0
11/15/2023,0.03
11/16/2023,0.1
11/17/2023,0.32
11/18/2023,0.2
11/19/2023,0.56
11/20/2023,0.35
11/21/2023,0.68
11/22/2023,0.2
11/23/2023,0.1
11/24/2023,0.6
11/25/2023,0.85
11/26/2023,0.15
11/27/2023,0.98
11/28/2023,1.02
11/29/2023,0.77
11/30/2023,0.72
12/01/2023,0.65
12/02/2023,0.25
12/03/2023,0.3
12/04/2023,0.15
12/05/2023,0.2
12/06/2023,0.45
12/07/2023,1
12/08/2023,0.87
12/09/2023,1.23
12/10/2023,2.27
12/11/2023,1.6
12/12/2023,1.98
12/13/2023,0.9
12/14/2023,0.56
12/15/2023,0.99
12/16/2023,0.75
12/17/2023,0.45
12/18/2023,0.25
12/19/2023,0.2
12/20/2023,0.13
12/21/2023,0.6
12/22/2023,0.9
12/23/2023,0.95
12/24/2023,0.43
12/25/2023,0.6
12/26/2023,0.38
12/27/2023,0.5
12/28/2023,0.6
12/29/2023,0.25
12/30/2023,1.17
12/31/2023,1.5
1/01/2024,0.77
1/02/2024,0.5
1/03/2024,0.75
1/04/2024,0.98
1/05/2024,0.55
1/06/2024,0.59
1/07/2024,0.3
1/08/2024,0.1
1/09/2024,0
1/10/2024,0.1
1/11/2024,0.1
1/12/2024,0.2
1/13/2024,0.38
1/14/2024,0.4
1/29/2024,0.63
1/30/2024,1.14
1/31/2024,0.47
2/01/2024,0.4
2/02/2024,0.25
2/03/2024,0.3
2/04/2024,0.2
2/05/2024,0.08
2/06/2024,0.35
2/07/2024,0.35
2/08/2024,0.98
2/09/2024,1.83
2/10/2024,1.5
2/11/2024,1.35
2/12/2024,1.12
2/13/2024,0.55
2/14/2024,0.68
2/15/2024,0.55
2/16/2024,0.28
2/17/2024,0.17
2/18/2024,0.17
2/19/2024,1.6
2/20/2024,0.7
2/21/2024,1.4
2/22/2024,0.4
2/23/2024,0.75
2/24/2024,0.5
2/25/2024,0.6
2/26/2024,0.56
2/27/2024,0.3
2/28/2024,0.35
2/29/2024,1
3/01/2024,2.13
3/02/2024,1.6
3/03/2024,2.65
3/04/2024,1.77
3/05/2024,1.23
3/06/2024,0.73
3/07/2024,0.45
3/08/2024,0.68
3/09/2024,0.3
3/10/2024,0.38
3/11/2024,0.45
3/12/2024,1.33
3/13/2024,1.88
3/14/2024,0.3
3/15/2024,0.3
3/16/2024,0.2
3/17/2024,0.25
3/18/2024,0.38
3/19/2024,0.6
3/20/2024,0.32
3/21/2024,0.32
3/22/2024,0.28
3/23/2024,0.3
3/24/2024,0.8
3/25/2024,0.93
3/26/2024,0.73
3/27/2024,0.95
3/28/2024,3.92
3/29/2024,0.1
3/30/2024,0.1
3/31/2024,0.08
4/01/2024,0.05
4/02/2024,0.1
4/03/2024,0.1
4/04/2024,0.1
4/05/2024,0.1
4/06/2024,0.05
4/07/2024,0.03
4/08/2024,0
4/09/2024,0
4/10/2024,0
4/11/2024,0
4/12/2024,0
4/13/2024,0
4/14/2024,0
4/15/2024,0
4/16/2024,0
4/17/2024,0
4/18/2024,0
4/19/2024,0
4/20/2024,0
4/21/2024,0
4/22/2024,0
4/23/2024,0
4/24/2024,0
4/25/2024,0
4/26/2024,0
4/27/2024,0
4/28/2024,0
4/29/2024,0
4/30/2024,0
5/01/2024,0.1
5/02/2024,0
5/03/2024,0
5/04/2024,0
5/05/2024,0
5/06/2024,0
5/07/2024,0
5/08/2024,0
5/09/2024,0
5/10/2024,0
5/11/2024,0
5/12/2024,0.1
5/13/2024,0.13
5/14/2024,0.2
5/15/2024,0.1
5/16/2024,0.1
5/17/2024,0.2
5/18/2024,0.2
5/19/2024,0.1
5/20/2024,0
5/21/2024,0
5/22/2024,0
5/23/2024,0.1
5/24/2024,0.2
5/25/2024,0.12
5/26/2024,0
5/27/2024,0.3
5/28/2024,0.35
5/29/2024,0.5
5/30/2024,0.28
5/31/2024,0.28
6/01/2024,0.2
6/02/2024,0.3
6/03/2024,0.4
6/04/2024,0.05
6/05/2024,0.1
6/06/2024,0.08
6/07/2024,0.03
6/08/2024,0.08
6/09/2024,0
6/10/2024,0
6/11/2024,0
6/12/2024,0
6/13/2024,0
6/14/2024,0
6/15/2024,0.08
6/16/2024,0.1
6/17/2024,0.1
6/18/2024,0.1
6/19/2024,0
6/20/2024,0
6/21/2024,0
6/22/2024,0.13
6/23/2024,0.03
6/24/2024,0.1
6/25/2024,0.2
6/26/2024,0.1
6/27/2024,0.15
6/28/2024,0.25
6/29/2024,0.08
6/30/2024,0.1
7/01/2024,0.05
7/02/2024,0
7/03/2024,0.05
7/04/2024,0
7/05/2024,0
7/06/2024,0.08
7/07/2024,0
7/08/2024,0
7/09/2024,0.03
7/10/2024,0.1
7/11/2024,0.1
7/12/2024,0.08
7/13/2024,0.1
7/14/2024,0.1
7/15/2024,0.1
7/16/2024,0.17
7/17/2024,0.1
7/18/2024,0.03
7/19/2024,0
7/20/2024,0.28
7/21/2024,0.5
7/22/2024,0.32
7/23/2024,0.45
7/24/2024,0.1
7/25/2024,0.2
7/26/2024,0.2
7/27/2024,0.2
7/28/2024,0.1
7/29/2024,0
7/30/2024,0.1
7/31/2024,0.1
8/01/2024,0.05
8/02/2024,0.1
8/03/2024,0.3
8/04/2024,0.4
8/05/2024,0.35
8/06/2024,0.37
8/07/2024,0.3
8/08/2024,0.3
8/09/2024,0.1
8/10/2024,0.05
8/11/2024,0
8/12/2024,0
8/13/2024,0
8/14/2024,0.1
8/15/2024,0.08
8/16/2024,0.05
8/17/2024,0.1
8/18/2024,0.1
8/19/2024,0
8/20/2024,0.08
8/21/2024,0.2
8/22/2024,0.2
8/23/2024,0.2
8/24/2024,0.08
8/25/2024,0.03
8/26/2024,0.1
8/27/2024,0
8/28/2024,0.2
8/29/2024,0.22
8/30/2024,0.3
8/31/2024,0.1
9/01/2024,0.05
9/02/2024,0
9/03/2024,0
9/04/2024,0.1
9/05/2024,0.4
9/06/2024,0.6
9/07/2024,0.88
9/08/2024,0.6
9/09/2024,0.73
9/10/2024,0.13
9/11/2024,0
9/12/2024,0
9/13/2024,0
9/14/2024,0
9/15/2024,0.1
9/16/2024,0
9/17/2024,0
9/18/2024,0
9/19/2024,0
9/20/2024,0
9/21/2024,0
9/22/2024,0
9/23/2024,0
9/24/2024,0.2
9/25/2024,0.2
9/26/2024,0
9/27/2024,0
9/28/2024,0
9/29/2024,0
9/30/2024,0
10/01/2024,0
10/02/2024,0
10/03/2024,0
10/04/2024,0
10/05/2024,0
10/06/2024,0
10/07/2024,0
10/08/2024,0.05
10/09/2024,0
10/10/2024,0.03
10/11/2024,0
10/12/2024,0.08
10/13/2024,0.05
10/14/2024,0.03
10/15/2024,0
10/16/2024,0
10/17/2024,0
10/18/2024,0
10/19/2024,0.09
10/20/2024,0.05
10/21/2024,0
10/22/2024,0
10/23/2024,0
10/24/2024,0
10/25/2024,0
10/26/2024,0
10/27/2024,0
10/28/2024,0
10/29/2024,0
10/30/2024,0
10/31/2024,0
11/01/2024,0
11/02/2024,0
11/03/2024,0
11/04/2024,0
11/05/2024,0
11/06/2024,0
11/07/2024,0
11/08/2024,0
11/09/2024,0
11/10/2024,0
11/11/2024,0
11/12/2024,0
11/13/2024,0
11/14/2024,0
11/15/2024,0
11/16/2024,0
11/17/2024,0
11/18/2024,0.03
11/19/2024,0.08
11/20/2024,0.08
11/21/2024,0.1
11/22/2024,0.1
11/23/2024,0.1
11/24/2024,0.1
11/25/2024,0.03
11/26/2024,0
11/27/2024,0.08
11/28/2024,0.1
11/29/2024,0.1
11/30/2024,0.08
12/01/2024,0
12/02/2024,0
12/03/2024,0.1
12/04/2024,0.1
12/05/2024,0.1
12/06/2024,0.1
12/07/2024,0.1
12/08/2024,0.08
12/09/2024,0
12/10/2024,0
12/11/2024,0
12/12/2024,0
12/13/2024,0
12/14/2024,0
12/15/2024,0
12/16/2024,0
12/17/2024,0
12/18/2024,0
12/19/2024,0
12/20/2024,0
12/21/2024,0
12/22/2024,0
12/23/2024,0
12/24/2024,0
12/25/2024,0
12/26/2024,0
12/27/2024,0
12/28/2024,0
12/29/2024,0
12/30/2024,0
12/31/2024,0
1/01/2025,0
1/02/2025,0
1/03/2025,0
1/04/2025,0
1/05/2025,0
1/06/2025,0
1/07/2025,0
1/08/2025,0
1/09/2025,0
1/10/2025,0
1/11/2025,0
1/12/2025,0
1/13/2025,0
1/14/2025,0
1/15/2025,0
1/16/2025,0
1/17/2025,0
1/18/2025,0
1/19/2025,0
1/20/2025,0
1/21/2025,0
1/22/2025,0
1/23/2025,0
1/24/2025,0
1/25/2025,0
1/26/2025,0
1/27/2025,0
1/28/2025,0
1/29/2025,0.08
1/30/2025,0.1
1/31/2025,0.1
2/01/2025,0.1
2/02/2025,0.1
2/03/2025,0.1
2/04/2025,0.1
2/05/2025,0.1
2/06/2025,0.1
2/07/2025,0.1
2/08/2025,0.1
2/09/2025,0.1
2/10/2025,0.1
2/11/2025,0.1
2/12/2025,0.1
2/13/2025,0.1
2/14/2025,0.1
2/15/2025,0.1
2/16/2025,0.1
2/17/2025,0.1
2/18/2025,0.1
2/19/2025,0.1
2/20/2025,0.1
2/21/2025,0.1
2/22/2025,0.1
2/23/2025,0.1
2/24/2025,0.08
2/25/2025,0
2/26/2025,0
2/27/2025,0
2/28/2025,0
3/01/2025,0
3/02/2025,0
3/03/2025,0
3/04/2025,0
3/05/2025,0
3/06/2025,0
3/07/2025,0
3/08/2025,0
3/09/2025,0
3/10/2025,0
3/11/2025,0
3/12/2025,0
3/13/2025,0
3/14/2025,0.03
3/15/2025,0
3/18/2025,0
3/19/2025,0
3/20/2025,0
3/21/2025,0
3/22/2025,0
3/23/2025,0
3/24/2025,0
3/25/2025,0
3/26/2025,0
3/27/2025,0
3/28/2025,0
3/29/2025,0
3/30/2025,0
3/31/2025,0
4/01/2025,0
4/02/2025,0
4/03/2025,0
4/04/2025,0
4/05/2025,0
4/06/2025,0
4/07/2025,0
4/08/2025,0
4/09/2025,0
4/10/2025,0
4/11/2025,0
4/12/2025,0
4/13/2025,0
4/14/2025,0
4/15/2025,0
4/16/2025,0
4/17/2025,0
4/18/2025,0
4/19/2025,0
4/20/2025,0
4/21/2025,0
4/22/2025,0
4/23/2025,0
4/24/2025,0
4/25/2025,0
4/26/2025,0
4/27/2025,0
4/28/2025,0
4/29/2025,0
4/30/2025,0
5/01/2025,0
5/02/2025,0
5/03/2025,0
5/04/2025,0
5/05/2025,0
5/06/2025,0
5/07/2025,0
5/08/2025,0
5/09/2025,0
5/10/2025,0
5/11/2025,0
5/12/2025,0
5/13/2025,0
5/14/2025,0
5/15/2025,0
5/16/2025,0
5/17/2025,0
5/18/2025,0.02
5/19/2025,0
5/20/2025,0
5/21/2025,0
5/22/2025,0
5/23/2025,0
5/24/2025,0
5/25/2025,0
5/26/2025,0
5/27/2025,0
5/28/2025,0
5/29/2025,0
5/30/2025,0
5/31/2025,0
6/01/2025,0
6/02/2025,0
6/03/2025,0
6/04/2025,0.03
6/05/2025,0.1
6/06/2025,0.1
6/07/2025,0
6/08/2025,0.03
6/09/2025,0.1
6/10/2025,0.05
6/11/2025,0.03
6/12/2025,0
6/13/2025,0.05
6/14/2025,0.15
6/15/2025,0.2
6/16/2025,0.1
6/17/2025,0.1
6/18/2025,0.03
6/19/2025,0
6/20/2025,0.05
6/21/2025,0
6/22/2025,0.1
6/23/2025,0.08
6/24/2025,0
6/25/2025,0.1
6/26/2025,0.1
6/27/2025,0.1
6/28/2025,0.1
6/29/2025,0.03
6/30/2025,0.05
7/01/2025,0.1
7/02/2025,0.08
7/03/2025,0.03
7/04/2025,0
7/05/2025,0.03
7/06/2025,0
7/07/2025,0
7/08/2025,0.03
7/09/2025,0.1
7/10/2025,0.15
7/11/2025,0.32
7/12/2025,0.3
7/13/2025,0.3
7/14/2025,0.32
7/15/2025,0.2
7/16/2025,0.2
7/17/2025,0.1
7/18/2025,0.1
7/19/2025,0.3
7/20/2025,0.3
7/21/2025,0.3
7/22/2025,0.43
7/23/2025,0.4
7/24/2025,0.5
7/25/2025,0.44
7/26/2025,0.54
7/27/2025,0.4
7/28/2025,0.32
7/29/2025,0.28
7/30/2025,0.1
7/31/2025,0.5
8/01/2025,0.65
8/02/2025,0.3
8/03/2025,0.2
8/04/2025,0.17
8/05/2025,0.1
8/06/2025,0
8/07/2025,0
8/08/2025,0.15
8/09/2025,0.05
8/10/2025,0
8/11/2025,0
8/12/2025,0
8/13/2025,0
8/14/2025,0.2
8/15/2025,0.1
8/16/2025,0
8/17/2025,0
8/19/2025,0
8/20/2025,0
8/21/2025,0
8/22/2025,0
8/23/2025,0
8/24/2025,0
8/25/2025,0
8/26/2025,0
8/27/2025,0
8/28/2025,0
8/29/2025,0
8/30/2025,0.05
8/31/2025,0.08
9/01/2025,0.1
9/02/2025,0.1
9/03/2025,0
9/04/2025,0.1
9/05/2025,0.1
9/06/2025,0.04
9/07/2025,0.2
9/08/2025,0.1
9/09/2025,0.1
9/10/2025,0.3
9/11/2025,0.25
9/12/2025,0.1
9/13/2025,0
9/14/2025,0
9/15/2025,0
9/16/2025,0
9/17/2025,0.05
9/18/2025,0.05
9/19/2025,0
9/20/2025,0
9/21/2025,0
9/22/2025,0
9/23/2025,0
9/24/2025,0
9/25/2025,0
9/26/2025,0
9/27/2025,0
9/28/2025,0
9/29/2025,0
9/30/2025,0.5
10/01/2025,0.5
10/02/2025,0.7
10/03/2025,1.12
10/04/2025,1.23
10/05/2025,0.95
10/06/2025,1.1
10/07/2025,0.7
10/08/2025,0.3
10/09/2025,0.32
10/10/2025,0.3
10/11/2025,0.3
10/12/2025,0.2
10/13/2025,0.03
10/14/2025,0.22
10/15/2025,0.1
10/16/2025,0.2
10/17/2025,0.08
10/18/2025,0.2
10/19/2025,0.1
10/20/2025,0.3
10/21/2025,1.27
10/22/2025,3.92
10/23/2025,3.45
10/24/2025,1.95
10/25/2025,0
10/26/2025,0
10/27/2025,0
10/28/2025,0
10/29/2025,0.13
10/30/2025,0.47
10/31/2025,0.35
11/01/2025,0.3
11/02/2025,0.43
11/03/2025,0.38
11/04/2025,0.52
11/05/2025,1.5
11/06/2025,0.38
11/07/2025,0.5
11/08/2025,0.4
11/09/2025,0.2
11/10/2025,0.42
11/11/2025,0.7
11/12/2025,0.4
11/13/2025,0.1
11/14/2025,0.1
11/15/2025,0.2
11/16/2025,0.1
11/17/2025,0
